Year,Net Sales,Operating Expenses,Cash Flow from Operations
1999,1640,896,-91
2000,2762,1520,-130
2001,3122,1211,-120
2002,3933,928,174
2003,5264,987,392
2004,6921,1162,567
2005,8490,1607,733
2006,10711,2067,702
2007,14835,2698,1405
2008,19166,3428,1697
2009,24509,4402,3293
2010,34204,32798,3495
2011,48077,47215,3903
2012,61093,60417,4180
2013,74452,73707,5475
2014,88988,88810,6842
2015,107006,104773,11920
2016,135987,131801,16443
2017,177866,173760,18434
2018,232887,220466,30723
2019,280522,265981,38514
2020,386064,363165,66064
2021,469822,444943,46327
2022,513983,501735,46752
